Votes,Total,Candidate
38234,70723,YOWERI MUSEVENI TIBUHABURWA KAGUTA
18103,32719,YOWERI MUSEVENI TIBUHABURWA KAGUTA
109275,234004,YOWERI MUSEVENI TIBUHABURWA KAGUTA
128658,550604,YOWERI MUSEVENI TIBUHABURWA KAGUTA
6421,12584,YOWERI MUSEVENI TIBUHABURWA KAGUTA
36857,66935,YOWERI MUSEVENI TIBUHABURWA KAGUTA
75032,91024,YOWERI MUSEVENI TIBUHABURWA KAGUTA
26880,55439,YOWERI MUSEVENI TIBUHABURWA KAGUTA
24779,54770,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3598,6839,YOWERI MUSEVENI TIBUHABURWA KAGUTA
21547,56200,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1893,4653,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2823,5745,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3056,5796,YOWERI MUSEVENI TIBUHABURWA KAGUTA
66572,87415,YOWERI MUSEVENI TIBUHABURWA KAGUTA
9230,20696,YOWERI MUSEVENI TIBUHABURWA KAGUTA
31908,55413,YOWERI MUSEVENI TIBUHABURWA KAGUTA
4173,6264,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2701,4694,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2058,3837,YOWERI MUSEVENI TIBUHABURWA KAGUTA
17921,53744,YOWERI MUSEVENI TIBUHABURWA KAGUTA
17921,53744,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1159,2808,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1109,2628,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1736,3310,YOWERI MUSEVENI TIBUHABURWA KAGUTA
9997,21894,YOWERI MUSEVENI TIBUHABURWA KAGUTA
9997,21894,YOWERI MUSEVENI TIBUHABURWA KAGUTA
11022,16589,YOWERI MUSEVENI TIBUHABURWA KAGUTA
57470,133730,YOWERI MUSEVENI TIBUHABURWA KAGUTA
14218,50652,YOWERI MUSEVENI TIBUHABURWA KAGUTA
14218,50652,YOWERI MUSEVENI TIBUHABURWA KAGUTA
23005,65476,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2268,3638,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1713,3082,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2182,3491,YOWERI MUSEVENI TIBUHABURWA KAGUTA
35660,97320,YOWERI MUSEVENI TIBUHABURWA KAGUTA
14747,32595,YOWERI MUSEVENI TIBUHABURWA KAGUTA
29960,35563,YOWERI MUSEVENI TIBUHABURWA KAGUTA
351,1327,YOWERI MUSEVENI TIBUHABURWA KAGUTA
18365,89391,YOWERI MUSEVENI TIBUHABURWA KAGUTA
18365,89391,YOWERI MUSEVENI TIBUHABURWA KAGUTA
30795,39064,YOWERI MUSEVENI TIBUHABURWA KAGUTA
816,1816,YOWERI MUSEVENI TIBUHABURWA KAGUTA
14770,52463,YOWERI MUSEVENI TIBUHABURWA KAGUTA
14770,52463,YOWERI MUSEVENI TIBUHABURWA KAGUTA
11657,22912,YOWERI MUSEVENI TIBUHABURWA KAGUTA
535,1454,YOWERI MUSEVENI TIBUHABURWA KAGUTA
34050,38872,YOWERI MUSEVENI TIBUHABURWA KAGUTA
25186,32664,YOWERI MUSEVENI TIBUHABURWA KAGUTA
98694,112014,YOWERI MUSEVENI TIBUHABURWA KAGUTA
7498,12348,YOWERI MUSEVENI TIBUHABURWA KAGUTA
16691,48577,YOWERI MUSEVENI TIBUHABURWA KAGUTA
16691,48577,YOWERI MUSEVENI TIBUHABURWA KAGUTA
30590,40487,YOWERI MUSEVENI TIBUHABURWA KAGUTA
309,953,YOWERI MUSEVENI TIBUHABURWA KAGUTA
11769,67048,YOWERI MUSEVENI TIBUHABURWA KAGUTA
11769,67048,YOWERI MUSEVENI TIBUHABURWA KAGUTA
462,1116,YOWERI MUSEVENI TIBUHABURWA KAGUTA
4391,11228,YOWERI MUSEVENI TIBUHABURWA KAGUTA
8114,21484,YOWERI MUSEVENI TIBUHABURWA KAGUTA
10591,15687,YOWERI MUSEVENI TIBUHABURWA KAGUTA
9176,43002,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1308,1973,YOWERI MUSEVENI TIBUHABURWA KAGUTA
23824,36067,YOWERI MUSEVENI TIBUHABURWA KAGUTA
23824,36067,YOWERI MUSEVENI TIBUHABURWA KAGUTA
504,1126,YOWERI MUSEVENI TIBUHABURWA KAGUTA
4272,6420,YOWERI MUSEVENI TIBUHABURWA KAGUTA
558,1124,YOWERI MUSEVENI TIBUHABURWA KAGUTA
50058,65479,YOWERI MUSEVENI TIBUHABURWA KAGUTA
50058,65479,YOWERI MUSEVENI TIBUHABURWA KAGUTA
305,829,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3104,7830,YOWERI MUSEVENI TIBUHABURWA KAGUTA
4901,18265,YOWERI MUSEVENI TIBUHABURWA KAGUTA
8795,28036,YOWERI MUSEVENI TIBUHABURWA KAGUTA
12346,81564,YOWERI MUSEVENI TIBUHABURWA KAGUTA
12346,81564,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3011,8744,YOWERI MUSEVENI TIBUHABURWA KAGUTA
4529,7745,YOWERI MUSEVENI TIBUHABURWA KAGUTA
13402,64163,YOWERI MUSEVENI TIBUHABURWA KAGUTA
13402,64163,YOWERI MUSEVENI TIBUHABURWA KAGUTA
371,902,YOWERI MUSEVENI TIBUHABURWA KAGUTA
32310,43688,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1856,3988,YOWERI MUSEVENI TIBUHABURWA KAGUTA
13259,23515,YOWERI MUSEVENI TIBUHABURWA KAGUTA
8278,39336,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2378,5188,YOWERI MUSEVENI TIBUHABURWA KAGUTA
769,1367,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2920,4705,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2569,6232,YOWERI MUSEVENI TIBUHABURWA KAGUTA
11345,23504,YOWERI MUSEVENI TIBUHABURWA KAGUTA
376,836,YOWERI MUSEVENI TIBUHABURWA KAGUTA
121,519,YOWERI MUSEVENI TIBUHABURWA KAGUTA
136,549,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2934,8536,YOWERI MUSEVENI TIBUHABURWA KAGUTA
339,790,YOWERI MUSEVENI TIBUHABURWA KAGUTA
4512,9444,YOWERI MUSEVENI TIBUHABURWA KAGUTA
7908,13377,YOWERI MUSEVENI TIBUHABURWA KAGUTA
17320,41384,YOWERI MUSEVENI TIBUHABURWA KAGUTA
480,966,YOWERI MUSEVENI TIBUHABURWA KAGUTA
614,1087,YOWERI MUSEVENI TIBUHABURWA KAGUTA
12343,19124,YOWERI MUSEVENI TIBUHABURWA KAGUTA
403,838,YOWERI MUSEVENI TIBUHABURWA KAGUTA
38431,55703,YOWERI MUSEVENI TIBUHABURWA KAGUTA
398,818,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3584,8751,YOWERI MUSEVENI TIBUHABURWA KAGUTA
965,1443,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1338,6414,YOWERI MUSEVENI TIBUHABURWA KAGUTA
12045,16299,YOWERI MUSEVENI TIBUHABURWA KAGUTA
520,933,YOWERI MUSEVENI TIBUHABURWA KAGUTA
127,458,YOWERI MUSEVENI TIBUHABURWA KAGUTA
127,458,YOWERI MUSEVENI TIBUHABURWA KAGUTA
18351,39267,YOWERI MUSEVENI TIBUHABURWA KAGUTA
6833,8726,YOWERI MUSEVENI TIBUHABURWA KAGUTA
13994,29429,YOWERI MUSEVENI TIBUHABURWA KAGUTA
933,1374,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3830,5464,YOWERI MUSEVENI TIBUHABURWA KAGUTA
22783,30465,YOWERI MUSEVENI TIBUHABURWA KAGUTA
11760,37138,YOWERI MUSEVENI TIBUHABURWA KAGUTA
379,716,YOWERI MUSEVENI TIBUHABURWA KAGUTA
19010,44440,YOWERI MUSEVENI TIBUHABURWA KAGUTA
18545,24188,YOWERI MUSEVENI TIBUHABURWA KAGUTA
5549,20915,YOWERI MUSEVENI TIBUHABURWA KAGUTA
815,1224,YOWERI MUSEVENI TIBUHABURWA KAGUTA
228,528,YOWERI MUSEVENI TIBUHABURWA KAGUTA
391,731,YOWERI MUSEVENI TIBUHABURWA KAGUTA
93,406,YOWERI MUSEVENI TIBUHABURWA KAGUTA
410,722,YOWERI MUSEVENI TIBUHABURWA KAGUTA
164,456,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3543,9642,YOWERI MUSEVENI TIBUHABURWA KAGUTA
477,823,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1444,3889,YOWERI MUSEVENI TIBUHABURWA KAGUTA
195,517,YOWERI MUSEVENI TIBUHABURWA KAGUTA
4883,10192,YOWERI MUSEVENI TIBUHABURWA KAGUTA
113,405,YOWERI MUSEVENI TIBUHABURWA KAGUTA
268,588,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3206,11109,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2324,7206,YOWERI MUSEVENI TIBUHABURWA KAGUTA
151,438,YOWERI MUSEVENI TIBUHABURWA KAGUTA
151,438,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1502,3503,YOWERI MUSEVENI TIBUHABURWA KAGUTA
184,477,YOWERI MUSEVENI TIBUHABURWA KAGUTA
197,486,YOWERI MUSEVENI TIBUHABURWA KAGUTA
621,964,YOWERI MUSEVENI TIBUHABURWA KAGUTA
286,585,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2079,5698,YOWERI MUSEVENI TIBUHABURWA KAGUTA
348,616,YOWERI MUSEVENI TIBUHABURWA KAGUTA
886,1973,YOWERI MUSEVENI TIBUHABURWA KAGUTA
522,899,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3793,5580,YOWERI MUSEVENI TIBUHABURWA KAGUTA
38166,43190,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1293,2978,YOWERI MUSEVENI TIBUHABURWA KAGUTA
184,454,YOWERI MUSEVENI TIBUHABURWA KAGUTA
184,454,YOWERI MUSEVENI TIBUHABURWA KAGUTA
575,895,YOWERI MUSEVENI TIBUHABURWA KAGUTA
243,532,YOWERI MUSEVENI TIBUHABURWA KAGUTA
478,784,YOWERI MUSEVENI TIBUHABURWA KAGUTA
210,493,YOWERI MUSEVENI TIBUHABURWA KAGUTA
178,416,YOWERI MUSEVENI TIBUHABURWA KAGUTA
107,358,YOWERI MUSEVENI TIBUHABURWA KAGUTA
107,358,YOWERI MUSEVENI TIBUHABURWA KAGUTA
159,402,YOWERI MUSEVENI TIBUHABURWA KAGUTA
173,404,YOWERI MUSEVENI TIBUHABURWA KAGUTA
7278,8430,YOWERI MUSEVENI TIBUHABURWA KAGUTA
400,676,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3089,5666,YOWERI MUSEVENI TIBUHABURWA KAGUTA
274,526,YOWERI MUSEVENI TIBUHABURWA KAGUTA
6657,8195,YOWERI MUSEVENI TIBUHABURWA KAGUTA
141,373,YOWERI MUSEVENI TIBUHABURWA KAGUTA
8945,10281,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1108,2973,YOWERI MUSEVENI TIBUHABURWA KAGUTA
173,416,YOWERI MUSEVENI TIBUHABURWA KAGUTA
305,575,YOWERI MUSEVENI TIBUHABURWA KAGUTA
8048,15875,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2211,5487,YOWERI MUSEVENI TIBUHABURWA KAGUTA
141,381,YOWERI MUSEVENI TIBUHABURWA KAGUTA
141,381,YOWERI MUSEVENI TIBUHABURWA KAGUTA
174,416,YOWERI MUSEVENI TIBUHABURWA KAGUTA
792,2744,YOWERI MUSEVENI TIBUHABURWA KAGUTA
7146,18477,YOWERI MUSEVENI TIBUHABURWA KAGUTA
4326,6282,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3092,5252,YOWERI MUSEVENI TIBUHABURWA KAGUTA
352,599,YOWERI MUSEVENI TIBUHABURWA KAGUTA
137,402,YOWERI MUSEVENI TIBUHABURWA KAGUTA
127,358,YOWERI MUSEVENI TIBUHABURWA KAGUTA
127,358,YOWERI MUSEVENI TIBUHABURWA KAGUTA
301,545,YOWERI MUSEVENI TIBUHABURWA KAGUTA
301,545,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1586,5707,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1008,3158,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3981,12565,YOWERI MUSEVENI TIBUHABURWA KAGUTA
514,838,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2993,9382,YOWERI MUSEVENI TIBUHABURWA KAGUTA
21410,23741,YOWERI MUSEVENI TIBUHABURWA KAGUTA
171,408,YOWERI MUSEVENI TIBUHABURWA KAGUTA
171,408,YOWERI MUSEVENI TIBUHABURWA KAGUTA
174,401,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1308,2619,YOWERI MUSEVENI TIBUHABURWA KAGUTA
544,803,YOWERI MUSEVENI TIBUHABURWA KAGUTA
309,542,YOWERI MUSEVENI TIBUHABURWA KAGUTA
7354,9112,YOWERI MUSEVENI TIBUHABURWA KAGUTA
738,1577,YOWERI MUSEVENI TIBUHABURWA KAGUTA
189,425,YOWERI MUSEVENI TIBUHABURWA KAGUTA
189,425,YOWERI MUSEVENI TIBUHABURWA KAGUTA
26070,36990,YOWERI MUSEVENI TIBUHABURWA KAGUTA
7546,8716,YOWERI MUSEVENI TIBUHABURWA KAGUTA
206,440,YOWERI MUSEVENI TIBUHABURWA KAGUTA
165,389,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1326,2052,YOWERI MUSEVENI TIBUHABURWA KAGUTA
83,295,YOWERI MUSEVENI TIBUHABURWA KAGUTA
83,295,YOWERI MUSEVENI TIBUHABURWA KAGUTA
262,477,YOWERI MUSEVENI TIBUHABURWA KAGUTA
262,477,YOWERI MUSEVENI TIBUHABURWA KAGUTA
117,334,YOWERI MUSEVENI TIBUHABURWA KAGUTA
117,334,YOWERI MUSEVENI TIBUHABURWA KAGUTA
316,514,YOWERI MUSEVENI TIBUHABURWA KAGUTA
160,358,YOWERI MUSEVENI TIBUHABURWA KAGUTA
160,358,YOWERI MUSEVENI TIBUHABURWA KAGUTA
203,420,YOWERI MUSEVENI TIBUHABURWA KAGUTA
204,404,YOWERI MUSEVENI TIBUHABURWA KAGUTA
204,404,YOWERI MUSEVENI TIBUHABURWA KAGUTA
627,894,YOWERI MUSEVENI TIBUHABURWA KAGUTA
125,337,YOWERI MUSEVENI TIBUHABURWA KAGUTA
294,504,YOWERI MUSEVENI TIBUHABURWA KAGUTA
294,504,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1088,2455,YOWERI MUSEVENI TIBUHABURWA KAGUTA
108,329,YOWERI MUSEVENI TIBUHABURWA KAGUTA
108,329,YOWERI MUSEVENI TIBUHABURWA KAGUTA
299,514,YOWERI MUSEVENI TIBUHABURWA KAGUTA
299,514,YOWERI MUSEVENI TIBUHABURWA KAGUTA
162,371,YOWERI MUSEVENI TIBUHABURWA KAGUTA
162,371,YOWERI MUSEVENI TIBUHABURWA KAGUTA
131,324,YOWERI MUSEVENI TIBUHABURWA KAGUTA
65,262,YOWERI MUSEVENI TIBUHABURWA KAGUTA
65,262,YOWERI MUSEVENI TIBUHABURWA KAGUTA
150,352,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2157,7252,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2373,3671,YOWERI MUSEVENI TIBUHABURWA KAGUTA
132,352,YOWERI MUSEVENI TIBUHABURWA KAGUTA
329,538,YOWERI MUSEVENI TIBUHABURWA KAGUTA
12361,18713,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2292,7500,YOWERI MUSEVENI TIBUHABURWA KAGUTA
216,429,YOWERI MUSEVENI TIBUHABURWA KAGUTA
161,338,YOWERI MUSEVENI TIBUHABURWA KAGUTA
161,338,YOWERI MUSEVENI TIBUHABURWA KAGUTA
165,396,YOWERI MUSEVENI TIBUHABURWA KAGUTA
165,396,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1012,2179,YOWERI MUSEVENI TIBUHABURWA KAGUTA
5460,6920,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3642,5467,YOWERI MUSEVENI TIBUHABURWA KAGUTA
202,403,YOWERI MUSEVENI TIBUHABURWA KAGUTA
202,403,YOWERI MUSEVENI TIBUHABURWA KAGUTA
186,394,YOWERI MUSEVENI TIBUHABURWA KAGUTA
186,394,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1808,6618,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1761,4616,YOWERI MUSEVENI TIBUHABURWA KAGUTA
140,345,YOWERI MUSEVENI TIBUHABURWA KAGUTA
132,326,YOWERI MUSEVENI TIBUHABURWA KAGUTA
132,326,YOWERI MUSEVENI TIBUHABURWA KAGUTA
130,324,YOWERI MUSEVENI TIBUHABURWA KAGUTA
130,324,YOWERI MUSEVENI TIBUHABURWA KAGUTA
127,326,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3083,11891,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2013,5768,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1325,3146,YOWERI MUSEVENI TIBUHABURWA KAGUTA
273,481,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1828,3034,YOWERI MUSEVENI TIBUHABURWA KAGUTA
402,649,YOWERI MUSEVENI TIBUHABURWA KAGUTA
120,289,YOWERI MUSEVENI TIBUHABURWA KAGUTA
120,289,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2623,3938,YOWERI MUSEVENI TIBUHABURWA KAGUTA
956,2041,YOWERI MUSEVENI TIBUHABURWA KAGUTA
104,284,YOWERI MUSEVENI TIBUHABURWA KAGUTA
104,284,YOWERI MUSEVENI TIBUHABURWA KAGUTA
161,365,YOWERI MUSEVENI TIBUHABURWA KAGUTA
6096,15956,YOWERI MUSEVENI TIBUHABURWA KAGUTA
213,419,YOWERI MUSEVENI TIBUHABURWA KAGUTA
213,419,YOWERI MUSEVENI TIBUHABURWA KAGUTA
5333,6971,YOWERI MUSEVENI TIBUHABURWA KAGUTA
20959,23962,YOWERI MUSEVENI TIBUHABURWA KAGUTA
78,254,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1273,4963,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1124,2376,YOWERI MUSEVENI TIBUHABURWA KAGUTA
5899,8069,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1752,3087,YOWERI MUSEVENI TIBUHABURWA KAGUTA
4442,6749,YOWERI MUSEVENI TIBUHABURWA KAGUTA
9361,13475,YOWERI MUSEVENI TIBUHABURWA KAGUTA
197,372,YOWERI MUSEVENI TIBUHABURWA KAGUTA
197,372,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1101,2590,YOWERI MUSEVENI TIBUHABURWA KAGUTA
203,375,YOWERI MUSEVENI TIBUHABURWA KAGUTA
203,375,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2024,8386,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1856,2898,YOWERI MUSEVENI TIBUHABURWA KAGUTA
4480,7348,YOWERI MUSEVENI TIBUHABURWA KAGUTA
170,376,YOWERI MUSEVENI TIBUHABURWA KAGUTA
4797,21920,YOWERI MUSEVENI TIBUHABURWA KAGUTA
237,434,YOWERI MUSEVENI TIBUHABURWA KAGUTA
226,399,YOWERI MUSEVENI TIBUHABURWA KAGUTA
173,341,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1958,3943,YOWERI MUSEVENI TIBUHABURWA KAGUTA
179,369,YOWERI MUSEVENI TIBUHABURWA KAGUTA
357,591,YOWERI MUSEVENI TIBUHABURWA KAGUTA
180,353,YOWERI MUSEVENI TIBUHABURWA KAGUTA
182,337,YOWERI MUSEVENI TIBUHABURWA KAGUTA
195,375,YOWERI MUSEVENI TIBUHABURWA KAGUTA
195,375,YOWERI MUSEVENI TIBUHABURWA KAGUTA
230,420,YOWERI MUSEVENI TIBUHABURWA KAGUTA
974,2478,YOWERI MUSEVENI TIBUHABURWA KAGUTA
259,428,YOWERI MUSEVENI TIBUHABURWA KAGUTA
259,428,YOWERI MUSEVENI TIBUHABURWA KAGUTA
667,899,YOWERI MUSEVENI TIBUHABURWA KAGUTA
310,531,YOWERI MUSEVENI TIBUHABURWA KAGUTA
9527,13223,YOWERI MUSEVENI TIBUHABURWA KAGUTA
371,571,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1322,4707,YOWERI MUSEVENI TIBUHABURWA KAGUTA
728,2152,YOWERI MUSEVENI TIBUHABURWA KAGUTA
215,394,YOWERI MUSEVENI TIBUHABURWA KAGUTA
215,394,YOWERI MUSEVENI TIBUHABURWA KAGUTA
262,437,YOWERI MUSEVENI TIBUHABURWA KAGUTA
262,437,YOWERI MUSEVENI TIBUHABURWA KAGUTA
200,385,YOWERI MUSEVENI TIBUHABURWA KAGUTA
342,529,YOWERI MUSEVENI TIBUHABURWA KAGUTA
84,259,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2322,3639,YOWERI MUSEVENI TIBUHABURWA KAGUTA
643,1486,YOWERI MUSEVENI TIBUHABURWA KAGUTA
181,331,YOWERI MUSEVENI TIBUHABURWA KAGUTA
181,331,YOWERI MUSEVENI TIBUHABURWA KAGUTA
941,2142,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2491,4025,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1041,2423,YOWERI MUSEVENI TIBUHABURWA KAGUTA
175,348,YOWERI MUSEVENI TIBUHABURWA KAGUTA
160,329,YOWERI MUSEVENI TIBUHABURWA KAGUTA
160,329,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2932,8360,YOWERI MUSEVENI TIBUHABURWA KAGUTA
781,2667,YOWERI MUSEVENI TIBUHABURWA KAGUTA
126,295,YOWERI MUSEVENI TIBUHABURWA KAGUTA
985,1555,YOWERI MUSEVENI TIBUHABURWA KAGUTA
160,332,YOWERI MUSEVENI TIBUHABURWA KAGUTA
180,376,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2061,7939,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1032,2260,YOWERI MUSEVENI TIBUHABURWA KAGUTA
35804,43721,YOWERI MUSEVENI TIBUHABURWA KAGUTA
693,3574,YOWERI MUSEVENI TIBUHABURWA KAGUTA
198,345,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1128,2135,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2241,3825,YOWERI MUSEVENI TIBUHABURWA KAGUTA
4169,6619,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1023,1553,YOWERI MUSEVENI TIBUHABURWA KAGUTA
207,367,YOWERI MUSEVENI TIBUHABURWA KAGUTA
256,429,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1271,2644,YOWERI MUSEVENI TIBUHABURWA KAGUTA
859,2015,YOWERI MUSEVENI TIBUHABURWA KAGUTA
179,337,YOWERI MUSEVENI TIBUHABURWA KAGUTA
179,337,YOWERI MUSEVENI TIBUHABURWA KAGUTA
201,357,YOWERI MUSEVENI TIBUHABURWA KAGUTA
201,357,YOWERI MUSEVENI TIBUHABURWA KAGUTA
251,413,YOWERI MUSEVENI TIBUHABURWA KAGUTA
104,240,YOWERI MUSEVENI TIBUHABURWA KAGUTA
104,240,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3300,6389,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2306,10846,YOWERI MUSEVENI TIBUHABURWA KAGUTA
352,533,YOWERI MUSEVENI TIBUHABURWA KAGUTA
157,300,YOWERI MUSEVENI TIBUHABURWA KAGUTA
227,368,YOWERI MUSEVENI TIBUHABURWA KAGUTA
227,368,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3428,18536,YOWERI MUSEVENI TIBUHABURWA KAGUTA
273,444,YOWERI MUSEVENI TIBUHABURWA KAGUTA
273,444,YOWERI MUSEVENI TIBUHABURWA KAGUTA
4261,5773,YOWERI MUSEVENI TIBUHABURWA KAGUTA
111,258,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1026,2192,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2466,9024,YOWERI MUSEVENI TIBUHABURWA KAGUTA
381,551,YOWERI MUSEVENI TIBUHABURWA KAGUTA
128,262,YOWERI MUSEVENI TIBUHABURWA KAGUTA
128,262,YOWERI MUSEVENI TIBUHABURWA KAGUTA
4795,11680,YOWERI MUSEVENI TIBUHABURWA KAGUTA
855,2178,YOWERI MUSEVENI TIBUHABURWA KAGUTA
247,403,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2473,14183,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1842,4921,YOWERI MUSEVENI TIBUHABURWA KAGUTA
273,415,YOWERI MUSEVENI TIBUHABURWA KAGUTA
134,273,YOWERI MUSEVENI TIBUHABURWA KAGUTA
134,273,YOWERI MUSEVENI TIBUHABURWA KAGUTA
174,310,YOWERI MUSEVENI TIBUHABURWA KAGUTA
174,310,YOWERI MUSEVENI TIBUHABURWA KAGUTA
148,311,YOWERI MUSEVENI TIBUHABURWA KAGUTA
148,311,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2261,6001,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2432,3958,YOWERI MUSEVENI TIBUHABURWA KAGUTA
209,355,YOWERI MUSEVENI TIBUHABURWA KAGUTA
209,355,YOWERI MUSEVENI TIBUHABURWA KAGUTA
348,505,YOWERI MUSEVENI TIBUHABURWA KAGUTA
144,288,YOWERI MUSEVENI TIBUHABURWA KAGUTA
144,288,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2683,7574,YOWERI MUSEVENI TIBUHABURWA KAGUTA
528,1351,YOWERI MUSEVENI TIBUHABURWA KAGUTA
166,285,YOWERI MUSEVENI TIBUHABURWA KAGUTA
166,285,YOWERI MUSEVENI TIBUHABURWA KAGUTA
126,263,YOWERI MUSEVENI TIBUHABURWA KAGUTA
24254,50629,YOWERI MUSEVENI TIBUHABURWA KAGUTA
272,405,YOWERI MUSEVENI TIBUHABURWA KAGUTA
272,405,YOWERI MUSEVENI TIBUHABURWA KAGUTA
139,272,YOWERI MUSEVENI TIBUHABURWA KAGUTA
139,272,YOWERI MUSEVENI TIBUHABURWA KAGUTA
215,358,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1079,2359,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1598,2975,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1186,2723,YOWERI MUSEVENI TIBUHABURWA KAGUTA
4246,7876,YOWERI MUSEVENI TIBUHABURWA KAGUTA
835,1990,YOWERI MUSEVENI TIBUHABURWA KAGUTA
331,488,YOWERI MUSEVENI TIBUHABURWA KAGUTA
331,488,YOWERI MUSEVENI TIBUHABURWA KAGUTA
182,311,YOWERI MUSEVENI TIBUHABURWA KAGUTA
182,311,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1006,2357,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3553,9355,YOWERI MUSEVENI TIBUHABURWA KAGUTA
968,2347,YOWERI MUSEVENI TIBUHABURWA KAGUTA
5700,7334,YOWERI MUSEVENI TIBUHABURWA KAGUTA
624,1315,YOWERI MUSEVENI TIBUHABURWA KAGUTA
205,369,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3349,4372,YOWERI MUSEVENI TIBUHABURWA KAGUTA
4582,11052,YOWERI MUSEVENI TIBUHABURWA KAGUTA
203,339,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2327,3171,YOWERI MUSEVENI TIBUHABURWA KAGUTA
